,name,steps,cuisine
1011,caponata from loni kuhn's s.f. cooking class,"cut unpeeled eggplant into 1-inch cubes. heat olive oil in a 5- or 6-quart enameled cast iron casserole or dutch oven. add eggplant and onions and saute for 5 minutes until lightly golden.  (this step can be eliminated to save calories, although the recipe will not be as authentic.  if you like, just place raw eggplant and onions in casserole and proceed. add the remaining ingredients to casserole; stir gently but thoroughly and simmer, covered, for 30 minutes, stirring occasionally. remove lid and simmer for about 10 minutes more or until thick (this will depend on the juiciness of the tomatoes). serve at room temperature in a bowl surrounded by sliced french or italian bread or as a salad on romaine leaves. will keep, under refrigeration, for 3 weeks.",Italian
1012,amazing vegetarian crockpot stuffed peppers,"cut tops off of bell peppers, if using italian peppers (they are thinner), lay pepper on cutting board the way it is most stable, then slice off the very top of the pepper at a slight angle (to help keep stuffing inside while cooking in the crock pot).  remove seeds and inner membrane. cook brown rice and cool slightly (i use one bag of success boil in bag brown rice- super easy and always cooks up perfectly). saute onions in thin layer of wine, or water if you prefer.  when starting to become translucent, add mushrooms and saute until mushrooms lose most water and are reduced in size.  add garlic and saute a minute.  add oregano and saute one more minute.  remove from heat. in a medium bowl, stir together rice, mushroom mixture, cheese, then salt and pepper to taste.  stuff inside of peppers.  pour half of the marinara into the crockpot, carefully lay peppers on top, then carefully pour remaining sauce on each pepper. cook on low for 6 hours.",Italian
1013,roasted red pepper and chicken lasagna,"roast red peppers  (see recipe #18589 for instructions). boil lasagna noodles according to package directions. steam chicken, cut into thin pieces. cook olive oil and garlic in a large skillet at medium heat for about 1 minute. add half the chicken chicken and 1/2 cup cheese and toss well. add milk, stir and raise to medium high heat for about 2 minutes. to prevent curdling, mix yogurt with the rest of the chicken pieces in a separate bowl. turn off heat, return mixture to skillet and mix well. in lasagna pan, layer chicken and sauce, roasted red peppers, and noodles. top with remaining 1/2 cup of cheese. bake at 350 just until hot.",Italian
1014,eggplant parmigiana and italian meats casserole,"cook ground round in a skillet until browned, stirring to crumble meat.  drain, reserving 3 tbsp drippings. set meat and drippings aside. cook sausage in skillet until browned, stirring to crumble meat -- if in casings, remove casings.  drain, set aside. combine ground round, reserved drippings, tomatoes, and next 9 ingredients in a dutch oven.  cook, uncovered, over medium-low heat 2 hours.  remove and discard bay leaves. cut eggplant into 1/4 inch slices.  saute eggplant in olive oil in a large skillet over medium-high heat until almost tender; drain. spread 1 1/2 cups tomato mixture in a 13x9x2 inch baking dish.  layer half each of eggplant slices, shredded mozzarella cheese, grated parmesan cheese, reserved sausage, and tomato mixture.  repeat layers. top with mozzarella cheese strips. bake at 350 degrees for 45 minutes or until lightly browned and thoroughly heated.",Italian
1015,italian pineapple chicken,"flatten chicken into 1/2 in thickness. soak chicken in italian dressing for 4 hours. in a large skillet heat oil. add chicken,cook over medium heat for 5 to 7 minutes on each side or until juices run clear. remove and keep warm. add pineapple slices to skillet, cook for 30 seconds on each side or until lightly browned. place on chicken breast.",Italian
1016,passum,boil the wine or grape juice until it's been reduced by half. sweeten with honey and allow to cool. this should be a thick sweet syrup.,Italian
1017,debby's italian salad dressing,important: you will have leftover dry mix ! take 2 tablespoons of dry mix. add it to the wet mix. shake well. use on salad or as a marinade. keep leftover dry mix in a air tight container until ready to use.,Italian
1018,parkland hospital italian cream cake,"for cake: cream margarine, oil and sugar. add egg slowly, beating after each addition. scrape down bowl. add sifted flour and baking soda into creamed mixture, alternately with buttermilk, and scrape down bowl. add vanilla, coconut, and chopped pecans. pour into greased 9 inch cake pan (24 oz per pan) and bake at 300 x 45 minutes. cool. for icing: cream softened cream cheese and margarine. add vanilla extract, powdered sugar, and chopped pecans. beat until spreading consistency. frost cooled cake.",Italian
1019,stuffed eggplant (aubergine),"cut the tops off two medium eggplants. scoop out the flesh, without breaking the skin, leave about ½” flesh. chop the flesh and fry in a little oil, with garlic and chopped salami. add some chopped parsley (if you like parsley….i don’t) and salt and pepper. stir-fry a few minutes, then throw in a cup of fresh breadcrumbs and ¾ cup shredded cheese,. stir another 30 seconds and take off the heat. stir through 2 lightly beaten eggs. using a teaspoon, stuff the eggplants, levelling the top. concasse. lightly fry a med onion in a mixture of oil and butter, (not too much) when they are limp, add 2-3 peeled chopped tomatoes, (or half a can of tomatoes). sprinkle with a teaspoon sugar and salt and pepper to taste. (i add basil too). place the eggplants on top of the concasse and simmer gently till the eggplant is soft and slightly wrinkly. (about 30 mins). check to make sure the concasse does not get too dry. serve the eggplant cut in half, length-ways, and pour some of the concasse over.",Italian
1020,skillet ziti with chicken &amp; broccoli,"season chicken with salt and pepper. melt 1 tbs butter in 12-inch skillet over medium heat.  add chicken and cook until it is lightly browned but not fully cooked, about 4 minutes.  transfer chicken to a bowl. add 1 more tbs butter, onion, red pepper flakes, oregano, &amp; 1/2 tsp salt to the skillet.  cook until the onion is softened, about 5 minutes.  stir in the garlic and cook until fragrant, about 15 seconds. sprinkle the ziti evenly into the skillet.  pour the broth and milk over the ziti.  cover and bring to a simmer about 5-10 minutes or till al dente  (original recipe advised to cook pasta for only two minutes, i found this to be not long enough). reduce heat to medium low and stir in the broccoli and roasted red peppers.  cover and continue to simmer, stirring occasionally, until the past begins to soften and the broccoli turns bright green, about 8 minutes.  (if the sauce reduces too much you could add more milk and broth). stir in the chicken and any accumulated juice.  cover and continue to simmer until the chicken is cooked through, about 3 minutes longer. stir in the remaining 1 tbs butter, parmesan, and lemon juice.  season with salt and pepper to taste.",Italian
1021,spaghetti with sausage and peppers,"in a large frying pan, heat the oil over moderate heat. add the sausage and cook, turning, until browned and cooked through, about 8 minutes. remove from pan. when cool enough, cut into 1/2 inch slices. add the onion, peppers and 3/4 teaspoon of the salt to the pan. cook, stirring frequently until the vegetables begin to brown, about 5 minutes. cover and cook, stirring occasionally until the vegetables are soft, about 3 minutes longer. add the garlic and cook, stirring, for about 30 seconds. add the tomatoes, broth, vermouth, the reserved sausage and any accumulated juices, the parsley and the remaining 1 teaspoon of salt, and bring to a simmer. in a large pot of boiling salted water, cook the spaghetti until just done, about 12 minutes. drain and toss with the sausage and pepper mixture and the parmesan. serve with more parmesan.",Italian
1022,bolognese,"add diced onions, garlic and oil to pan and sautee. pull apart plum tomatoes with hands, add all tomatoes and spices to a pot. add sauteed onion and garlic to pot along with beer and simmer on low. brown beef and drain, leave some grease in and add to pot. let simmer 45 minutes to 3 hours.",Italian
1023,penne with cannellini beans and anchovies,"combine first 3 ingredients and mince to form paste. set aside. heat 1/8 cup olive oil in a large(large enough to cook pasta, as well) nonreactive pot over medium high heat. add breadcrumbs and cook 3-4 minutes, until crisp, stirring constantly. stir in italian seasoning and pepper, to taste. transfer to a bowl and set aside. wipe pot clean with a paper towel. heat remaining oil in same pot over medium high heat. sauté onion and red pepper, till soft(about 5 minutes). add garlic paste and cook 1 minute, stirring constantly, until garlic begins to soften. stir in beans, tomato, and salt &amp; pepper to taste. cook about 1 minute until heated throughout. transfer to a large bowl. using same pot, cook pasta in boiling salted water 5 minutes. add spinach and cook another 5 minutes, or until pasta is al dente. drain through a colander, removing as much liquid as possible. lightly stir pasta into bean mixture. serve sprinkled with breadcrumbs and parmesan cheese.",Italian
1024,le cirque's fettuccine with green beans and basil,"bring a good sized pot of salted water to a boil and add the green beans and cook, perhaps as much as five minutes, but you must check--the beans should be tender but still crisp. drain and set aside. place basil, garlic, parmigiano and olive oil in a food processor or blender and puree until smooth -- you should have about 3/4 of a cup of the mixture. meanwhile, cook the fettucine in boiling salted water until al dente, drain the pasta, and reserve 1/2 cup of the pasta water. melt one tablespoon of the butter in a large skillet and gently saute the green beans to warm them, seasoning with salt and pepper. toss the pasta in with the beans. add the basil puree, the pasta water and the remaining butter and stir well. taste, adjust seasoning, and serve.",Italian
1025,tyler's ultimate spaghetti and meatballs,"preheat oven 350°f. dice onions &amp; crush garlic by first peeling and flattening with knife and then roughly chopping. keeping garlic on cutting board and drizzling some olive oil and a sprinkle of salt take knife and crush together to make a paste. (oil keeps it together and the salt acts as an abrasive). divide onions and crushed garlic between two pans with oil, one for the sauce and the other for the meatball base (and eventually to fry them in). put both of them on moderate heat to sweat and slightly caramelize. to the meatball base add a roughly chopped handful of flat leaf parsley. meanwhile (both onion mixes are still cooking) remove the crusts from the slices of bread and place in bowl with about 1 cup of milk. put aside to allow the milk to soak into the bread. put water in large pot for cooking pasta on (bring to simmer and then salt it.). once you've put the water for the pasta on you should be able to turn the heat off the meatball base. allowing time for the meatball base to cool, put the tomatoes through a food mill and add to the onions and garlic which have sweated down and started to caramelize. this will then cook down and thicken. to make the meatballs place all of the base in a bowl, (put pan back on heat with some olive oil for frying the meatballs) squeeze the soaked bread slightly and place in bowl with base along with egg, a good grating of parmesan cheese, stir and add ground meats and salt and pepper to taste. incorporate together with hands. shape into balls between golf ball and tennis ball in size. fry meatballs in 2 batches of about 8 (depending on pan size) to seal and caramelize them on both sides. you can place them straight from forming them into the pan, once you have made about 8 then the first one will be ready to turn. place them in an oven proof pan all together and place 1/2 the tomato sauce in with the meatballs and place torn bits of fresh mozzarella on top and place uncovered in oven for 15 minutes to finish of cooking. add salt to simmering water, cook pasta for 12 minutes, al dente and drain, add to pan with remaining tomato sauce drizzle extra virgin olive oil and a good amount of grated parmesan and stir to mix. plate up pasta with 2 meat balls and garnish with a couple of basil leaves and more grated parmesan. cooking times and yield are estimates, once i make this dish i will change them if necessary.",Italian
1026,sweet italian beef (crock pot),"place roast in crock pot, drizzle all of the dressing over the meat and sprinkle the sugar on top. cover and cook on low for 10-12 hours. when the roast is tender, remove it from the crock pot and shred with 2 forks. stir italian seasoning into the sauce in the crock pot and return shredded roast, stirring to blend. spoon onto sandwich buns or serve as open faced sandwiches.",Italian
1027,alessi's tiramisu,"zabaglione cream: in the top part of a double boiler, beat eggs and sugar together until the mixture is pale yellow in color. in the bottom part of the double boiler, bring water to a boil then reduce heat to simmer. place egg yolk mixture over water and gradually add marsala, beating continously. scrape bottom and sides of pan occasionally and cook 6 to 10 minutes or until soft mounds can be formed. transfer to bowl, cover and refrigerate 30 minutes. whip cream with 2 tbsp. sugar until soft peaks form. fold in mascarpone and zabaglione and mix until well blended. cover and refrigerate 1 hour. in a separate bowl, mix espresso, 2 tbsp. sugar, brandy and vanilla. arrange cookies on the bottom of a 9"" by 13"" pan. carefully spoon about 1 tbsp. of the coffee mixture over each cookie so they are well saturated but not falling apart. spoon 1/2 cheese mixture over cookies and sprinkle with 1 tbsp. cocoa. repeat one more time ending with cocoa. cover and refrigerate at least 5 hours or overnight so that cookies can soften as they absorb moisture. garnish and serve.",Italian
1028,gelato fior di latte ('flower of milk' gelato),"heat the milk and cream in a large saucepan over medium heat, then add the sugar and honey and stir to dissolve. add the vanilla extract. strain through a fine-mesh sieve into a glass or metal container. cool the gelato base over an ice water bath or in the refrigerator, stirring from time to time. when completely chilled, pour into an ice cream maker. process according to the manufacturer's instructions. transfer to a container and freeze for about 2 hours before serving.",Italian
1029,healthy lasagna - no kidding!,"boil pasta&amp; drain. prepare cheese mixture by mixing cottage cheese with egg beater and wire wisk until smooth. chop all vegetables into bite sized pieces. sautee chopped veggies with garlic flavored pam, fresh garlic, and desired italian spices. add soy crumble to sautee mix. cook until browned. put a small amount of sauce to coat bottom of baking pan. add a layer of pasta. add a layer of the veggie mixture. add a layer of cottage cheese mixture. sprinkle some soy cheese mixture. some sauce. add a top layer of pasta. add sauce. sprinkle remaining soy cheddar and mozarella on top. bake in oven at 350 for 30 minutes. wow! this tasted so terrific; my boyfriend had it and i didn't tell him what it was. he said it was the best tasting lasagna he has ever had.",Italian
1030,pesto for freezing,"put basil, oil, pine nuts, garlic and salt into a blender or food processor.  process until smooth.  makes 2 cups of sauce. spoon sauce into ice cube tray.  put in a freezer bag and freeze. to use, take out as many cubes as desired and microwave or leave out at room temperature until thawed. when using the sauce, add about 1 tbsp of pecorino romano (more or less, depending on ice cube size and your taste) for each ice cube you use.",Italian
1031,creamy bagna cauda,"saute garlic in butter until light brown but not scorched. add anchovy filets, then cream. hold out about 1/2 cup cream and combine with cornstarch. stir thickener into mixture. bring to a simmer but do not boil. stir constantly until thickened. you can place this in a fondue pot and serve with small, bite size assorted veggies or bread cubes. some suggestions are carrot slices, artichoke hearts, cherry tomatoes, celery slices, cabbage leaves, belgian endive, broccoli florets, etc. guests can dip their choice into the warm sauce.",Italian
1032,tri-color pasta,"cook pasta according to package directions. add peas during last 5 minutes; drain in colander. rinse under cold water to cool. in large bowl, combine pasta, peas, tomatoes and cheese. stir in pesto.",Italian
1033,fiery basil and broccoli penne,"cook the pasta in a large pan of boiling salted water for five minutes. add the broccoli and continue to cook until the pasta is just cooked and the broccoli is just a little bit overcooked. heat the oil in a small frying pan and cook the onion, bacon, chilies, garlic and half the basil for eight minutes or so until they are nicely golden and the pasta has cooked. drain the pasta and broccoli (use a large sieve as you will lose a lot of the broccoli through the big holes of a colander) and return to the pan. stir in the bacon and onion mixture, the remaining fresh basil leaves and plenty of freshly ground black pepper. squeeze in the lemon juice and serve with the grated cheese.",Italian
1034,berry cream cake,"make berry sauce:  bring all sauce ingredients just to a boil in a 1 1/2 to 2 quart heavy saucepan over high heat, stirring occasionally, then reduce heat and simmer, uncovered, stirring occasionally, 15 minutes. transfer to a shallow bowl and cool to romm temperature stirring occasionally, about 30 minutes. chill, covered, until cold about two hours. make almond layers: put oven racks in upper and lower thirds of oven and preheat to 350°f. butter cake pans and line bottom of each with a round of parchment or was paper, then butter paper. pulse almonds with 1/4 cup sugar in a food processor until finely ground. beat together eggs and remaining 1 1/4 cups sugar in a large bowl with an electric mixer at high speed until pale, fluffy, and tripled in volume, about 6-8 minutes. beat in vanilla and salt until combined well. stir together ground almonds and melted butter (1 1/4 sticks). fold one third of egg mixture into almond mixture to lighten, then fold in remainder, gently but thoroughly. divide batter among pans (batter should be about 1/2 inch deep). put 2 pans in lower third of oven and 1 pan in upper third (do not put directly above lower pans). bake, switching position of pans (from lower to upper and vice versa) halfway through baking, until a golden crust forms on top and cake begins to pull away from sides of pans ( cake will rise, them collapse slightly) 18 to 25 minutes total. cool in pans on racks 10 minutes, then run a small knife around edge of each pan and carefully invert onto racks. cool completely about 15 minutes. carefully peel off parchment. make mascarpone cream. stir together all mascarpone cream ingredients with a rubber spatula until smooth. chill, covered. assemble cake. center 1 almond layer on cake plate. spoon 1/2 cup berry sauce onto center of layer.  spread evenly, leaving a 1/2 inch border around edge of cake. spoon 3/4 cup mascarpone cream on top of berry sauce layer and smooth top (berry sauce will swirl into mascarpone cream). repeat procedure with remaining almond layers, berry sauce, and mascarpone cream, ending with mascarpone cream ( for a total of three layers). chill cake while making frosting. frost cake. beat cream with sugar, vanilla, and salt in a large bowl using an electric mixer with cleaned beater at high speed until it just hold stiff peaks. frost cake with whipped cream smoothing top and sides (there will be generous amount) then chill, uncovered, 1 hour. just before serving, sift cocoa powder over top of cake using a sieve. cook's notes:  almond layer can be made ahead and cooled completely, then wrapped well in plastic wrap and chilled 3 days or frozen up to 1 month. frosted cake can be made 1 day ahead (without cocoa powder) and chilled covered loosely with plastic wrap.",Italian
1035,lobster fondue in italian bread bowl,"heat oven to 350 degrees.  make the bread into a bowl by cutting the all the way around at an angle. put in oven for 7-8 minutes or until bread is slightly brown and crusty.  cut top of bread into chunks. in a saucepan combine all ingredients (except bread).  melt together over med heat until cheese is all melted. (sauce will seem thin at first but thickens as it cools). put bread on a cookie sheet or a serving platter and pour cheese mixture into ""bread bowl"".  don't worry if cheese overflows.  place bread chunks around the bread bowl and enjoy!",Italian
1036,mini spinach-feta calzone pockets (no phyllo!),"run the spinach through a food chopper/processor until it has about the same consistency as tabouleh, then put into a mixing bowl. finely grate the feta cheese with a grater or food chopper then mix with the spinach. add all the other ingredients on the list except the dough to the bowl and mix thoroughly-- except the olive oil, make sure just 1 tablespoon of oil goes in the mix. roll the pizza dough onto a floured surface and make cutouts, about 10-12. spoon about 3-4 tablespoons of spinach mixture (approx, i just used a serving spoon) into the center of each cutout. place each cutout on a cookie sheet greased with cooking spray. fold the cutouts over so they resemble little calzones. make sure that there are no pointy edges or tops because they'll burn easily. with the remaining tablespoon of olive oil, brush the tops of the calzones. about 1 tablespoon should be enough to lightly brush them all. bake at 375f for 15-20 minutes or until golden brown on top.",Italian
1037,jasmine martini for lovers,place ingredients in a shaker fill with ice. shake very well and strain into a chilled martini glass. garnish with a lemon slice.,Italian
1038,colin's italian meatballs ii,"place the chicken stock, onions, garlic, and parsley in a blender or food processor and puree. in a large bowl, combine the pureed stock mix, meat, bread crumbs, egg substitute, salt, and red pepper flakes. combine with hands until mixture is uniform, do not overmix. put a little olive oil on your hands and form mixture into balls a little smaller than golf balls. pour about 1/2 inch of extra virgin olive oil in a straight sided, 10-inch saute pan and heat over medium high flame or lightly coat a nonstick electric griddle with extra virgin olive oil and heat on high. add the meatballs to the pan, working in batches if necessary, and brown the meatballs turning once or twice. this should take 10 - 15 minutes. while the meatballs are browning, heat marinara sauce in a large pot or crock pot. transfer the meatballs to the pot with tomato sauce and simmer for one hour. serve immediately or store in fridge or freezer covered with the tomato sauce.",Italian
1039,flounder  alla margherita,"about 20 minutes before serving, in a 12"" skillet, over medium heat, in hot oil and butter (or margarine). cook fillets 2-3 minutes per side, until fish flakes easily with fork. meanwhile, in medium bowl, stir tomato sauce, parsley, and oregano; pour over fish in the pan;. reduce heat to low and simmer 5 or 6 minutes, occasionally basting fish with sauce. serve from the skillet.",Italian
1040,tuna and tortellini,"cook the pasta in boiling, salted water, with about 1 tbs olive oil. for 3-5 minutes - until the tortellini floats to the surface. do not overcook. microwave the broccoli for about 3-4 minutes - till warm, but not soft. drain pasta. meanwhile, unceremoniously dump the canned tuna (with oil) into the pot. add pesto, olive oil, garlic powder and salt if desired. toss together, then add drained pasta and broccoli. toss all together, gently, until mixed. top each serving with freshly grated cheese, and a sprig of fresh basil, if you are lucky enough to have some handy. enjoy.",Italian
1041,classic minestrone,"heat the oil in a large, thick-bottomed saucepan. add the onion and saute until it starts to brown. add the carrot and celery and cook on low for 5 minutes or until it starts to soften. add the garlic and tomatoes. add he stock. add salt and pepper and bring to the boil. cover the saucepan and simmer for 20 minutes. add the beans and macaroni. return to the boil and then simmer, covered, another 20 minutes. add more water if required. sprinkle with parsley and serve.",Italian
1042,spring primavera,"cook pasta as directed on package; drain. heat oil in a large skillet over medium-high heat. add asparagus, pepper, carrots, garlic, and herb seasoning to oil; cook and stir for 3-5 minutes or until tender-crisp. remove from heat; stir in pasta and cheese. serve hot.",Italian
1043,crisp baked bruschetta,"heat oven to 200c/400°f cut the crusts off the bread and roll with a rolling pin until flat. place on a baking sheet. melt the garlic butter and brush the bread with it. place bread in oven for 10 mins, until crispy. heat 1 tbsp oil and a frying pan and cook the peppers for 5 minutes, add the cabbage and cook for another 2 minutes. remove pan from heat and add the vinegar, tomatoes and seasoning if desired. mix the cheese and basil. take four slices of the bread and spread with the cheese mix. top with vegetables and another slice of bread. serve drizzle with the remaining oil.",Italian
1044,hearty italian meatball-melt subs,"on a microwave-safe plate place the meatballs.  microwave on high until hot (2 to 3 minutes). in a medium, heavy-bottomed skillet heat the oil over a medium-high flame.  once hot, add the mushrooms, peppers, onion and garlic; cook until vegetables are tender (6 to 7 minutes).  stir frequently, using wooden spoon to scrape skillet from the bottom. next, add the pasta sauce, meatballs, basil, oregano, parmesan cheese, salt and pepper; mix well.  cook until full heated, stirring ocassionally. remove from flame; spoon 6 meatballs and half of tomato sauce into each toasted italian hoagie bun.  sprinkle with mozzarella cheese; arrange the prepared subs on a cookie sheet and broil for 1 to 2 minutes - or until the mozarella cheese starts to bubble. if desired sprinkle with red pepper flakes and serve immediately.",Italian
1045,butternut squash risotto with pancetta,"preheat oven to 475. lightly coat large cookie sheet or jelly roll pan with cooking spray. arrange squash in one layer. bake until tender, turning once (~20 minutes total). reduce oven temp to 325. combine broth and water in a saucepan, bring to a simmer and keep warm over low heat. cook pancetta over medium-high heat in a dutch oven until crisp. drain on paper towel and discard pan drippings. reduce heat to medium, add onion and oil to pan, saute until onion is tender. add garlic and saute another minute. stir in rice and saute another minute. stir in broth mixture, bring to a boil. reduce heat and simmer uncovered for 10 minutes (do not stir!). place pan in oven, bake at 325 for 15 minutes. stir in the squash, pancetta, cheese, salt and pepper. cover with a clean cloth and let stand for 10 minutes before serving.",Italian
1046,italian omelet,mix all ingredients together and beat well. heat skillet and spray with cooking spray. pour egg mixture into pan and cook until almost set; fold omelet in half and cook about 30 seconds longer.,Italian
1047,roman summer salad,"cook the balsamic vinegar in a small saucepan over low heat until thick, syrupy, and measuring 1/4 cup, about 20 minutes. set aside to cool. combine the olives, parsley, anchovies, capers, garlic, basil, pepper, and olive oil in a small bowl and toss to combine. to serve, slice the tomatoes into 1/4"" thick rounds and place, slightly overlapping, on a serving plate. place artichoke hearts, if using, over top of tomatoes. spoon the olive and parsley mixture over the tomatoes. drizzle the reduced balsamic over the salad and serve. enjoy!",Italian
1048,southern italian traditional tomato sauce,"cut the tomatoes in chunks. soften the onion with a few drops of extra virgin olive oil. cook the tomatoes for about two hours. blend them with a food processor that seprates the skin from the juice. cook the sauce again at very low flame so that the sauce reduces more. add basil, sea salt, red pepper and extra virgin olive oil.",Italian
1049,pizza di pane e pomodoro (bread and tomato pizza),"prepare a charcoal grill or heat a gas grill to medium-high. toast the bread slices on one side. transfer bread to a work surface, toasted-side up. reduce grill to medium-low. top bread with the tomato, mozzarella, olives and anchovy. drizzle with oil and season with salt and pepper. return bread to the grill. cover and cook until cheese is melted and bubbly, about 15 minutes. sprinkle with basil and serve warm.",Italian
1050,zucchini casserole,boil or steam the zucchini until almost done and drain. mix the zucchini with the other ingredients (reserve 1 cup of the stuffing mixture for topping) and put into a dish. top with the stuffing mixture. bake in a preheated 350 degree farenheit oven for 45 minutes.,Italian
1051,chicken cacciatore,"set the oven at 400 degrees. in a large ovenproof dish, arrange the thighs in one layer, skinned side down. sprinkle with salt and pepper. roast the chicken for 20 minutes. in a large skillet, heat the oil. cook the garlic, carrots, onions, celery, mushrooms and roasted peppers over medium heat, stirring often, for 20 minutes. add the stock, port, balsamic vinegar, crushed tomatoes, and bay leaf. pour this over the chicken thighs, cover with foil, and return the dish to the oven. cook the cacciatore for 1 1/2 hours. toss the pasta and cacciatore and transfer to a serving bowl. sprinkle with cheese and basil.",Italian
1052,italian chicken and caramelized onion bagel pizzas,"in a dutch oven, melt butter over medium-low heat. add onion; cover and cook for 30 minutes, stirring occasionally. remove cover and increase heat to medium-high. stir onion frequently until golden brown, 10 to 12 minutes. add vinegar, salt and pepper; stir until vinegar evaporates, 1 to 2 minutes; set aside. in a large skillet, heat olive oil over medium-high heat. add chicken, italian seasoning and garlic salt. cook, stirring frequently, for 12 minutes or until chicken is lightly browned; set aside. preheat oven to 425 deg. line two baking sheets with aluminum foil. slice each bagel in half horizontally. spread boursin cheese on each bagel half. top each bagel half with pesto, chicken and caramelized onions. sprinkle with parmesan cheese. place on prepared pan; bake for 10 minutes or until cheese is melted.",Italian
1053,rachael ray's italian chicken and dumplings,"place a large pot of water on to boil for gnocchi. heat a pot with 1 tablespoon extra-virgin olive oil, a turn of the pan, over medium-high heat. add chicken, season with salt and pepper, and lightly brown. remove to a plate and add another tablespoon of olive oil and 2 tablespoons butter and heat. add mushrooms, carrots, celery, and bay leaf, season with salt and pepper. soften 5 minutes, sprinkle in flour and cook 2 minutes. whisk in 2 1/2 cups stock, slide the chicken back into the pot and simmer to allow sauce to thicken. place the remaining 1/2 cup stock in food processor with basil, parsley, garlic, pine nuts and cheese, salt and pepper. turn processor on and pour in the remaining few tablespoons oil. melt 2 tablespoons butter in a skillet over medium heat with the zest of 1 lemon. salt cooking water and drop gnocchi in the water, cook until the gnocchi floats, drain and add to the lemon butter and season with salt and pepper, to taste. toss the gnocchi 2 to 3 minutes in lemon butter until light golden at edges. turn heat off chicken and stir in pesto sauce. serve the chicken in shallow bowls and top with lemon butter dumplings.",Italian
1054,summer vegetable casserole,"preheat the oven to 350°. coat a 9-inch baking dish with olive oil. spread the potatoes in the dish in an even layer; drizzle with oil and season with salt and pepper. in a bowl, combine the bell pepper, onion, garlic and thyme and season with salt and pepper. arrange two-thirds of the bell pepper mixture over the potatoes and drizzle with oil. top with the tomatoes and the zucchini; drizzle with oil and season with salt and pepper. cover with the remaining bell pepper mixture and sprinkle with the cheese. cover the casserole with foil and bake for 40 minutes. increase the oven temperature to 425°. uncover the casserole and bake for about 20 minutes longer, until the vegetables are tender and glazed on top. let stand for 10 minutes. serve warm.",Italian
1055,potato gnocchi,"scrub the potatoes and place them, unpeeled, in a large pot of boiling water (lightly salted) and cook for 45 minutes until tender but not overcooked. when cool, peel potatoes and mash- then add flour, eggs, salt and pepper. roll dough into long thin rods, and cut into small pieces about 1-inch in length to form the dumplings. bring a large pot of lightly salted water to a boil (add a touch of olive oil). drop gnocchi in and cook for approximately 1 minute until they float to the top. sauté garlic in olive oil over medium heat until golden brown. add tomatoes and cook for 3 minutes then add gnocchi and top with basil, butter parmesan cheese, salt and pepper.",Italian
1056,chicken cacciatore,"coat chicken pieces with seasoned flour and brown in hot oil. stir in the crushed garlic, diced onions, and chopped green capsicums and cook for 10 minutes on a low heat. add tomatoes, tomato paste, salt, sugar, cracked black pepper, thyme and mixed spice. stir until combined. cook uncovered for 15 to 20 minutes on low heat. transfer to a casserole. add the red wine; cover and bake at 200 degrees celsius for 45 minutes or until chicken is tender and a thick sauce has formed. add the black olives and sprinkle with finely chopped parsley before serving. serve with a risotto or fresh steamed vegetables.",Italian
1057,"pollo maria (zia's on the hill, st. louis, mo)","marinate chicken in salad dressing for at least one hour at room temperature. drain chicken; discard marinade. preheat oven to 350 degrees. lightly coat chicken in seasoned bread crumbs. arrange chicken in a baking dish;bake until cooked through, about 30 minutes. in a small saucepan,melt butter over medium heat. whisk in flour; cook 3 to 4 minutes to make a roux. set aside. in another pan,dissolve chicken base in 2 cups water. stir in cream, pepper, and sage.  bring to a boil and add roux. stir constantly until mixture returns to a boil and begins to thicken. stir in 1/3 cup provel and remove from heat. coat the bottom of a medium baking dish with sauce; arrange cooked chicken on top of sauce. top chicken with bacon,broccoli,and tomato. pour remaining sauce over all. sprinkle cheddar cheese and remaining provel cheese to cover. return to oven and broil on high until cheese begins to melt and slightly brown, about 3 minutes. buon appetito!",Italian
1058,penna alla rocca,"heat oil in a large pot over medium high heat. add chopped onions, chopped garlic and crushed red pepper and sauté until onions begin to soften, about 4 minutes. add tomato and tomato paste and stir until tomatoes are just warmed through, about 2 minutes. mix in balsamic vinegar; bring the sauce to a boil. add cooked pasta, 1 cup of parmesan cheese and fresh chopped basil. add salt and toss. transfer to another large bowl and serve with remaining parmesan cheese.",Italian
1059,copycat carrabba's pasta carrabba,"cut breasts in half and place side by side on a platter. drizzle with the vinegar and oil. cut basil leaves and sprinkle over the breasts; sprinkle salt and pepper. refrigerate at least 1 hour. grill the breasts or bake in a 350 degree oven for 30 minutes. set aside. peel and finely chop shallots. saute in butter 1 minute. add cream, salt and pepper to taste. boil to reduce slightly to the consistency of a light sauce, just thick enough to coat a spoon. add mushrooms and peas and cook another 2 minutes. cook pasta, drain and shake out excess water. thinly slice chicken. add to pasta and gently toss with sauce, along with cheese. serve immediately.",Italian
1060,grilled asparagus wrapped in prosciutto,"place asparagus and all of ingredients except for prosciutto, in a microwavable dish. cook for 2 minutes. preheat grill to high. when cool enough to handle, wrap each spear, including some of the seasoning with one slice of prosciutto. repeat with all spears. grill turning to brown and crisp each side. enjoy! note: no need for salt because the proscuitto is salty.",Italian
